Place:,Player:,Name1:,Name:,Origin:,char1,char2,char3,char4,char5,Characters:,Event:,Tournament:,Qualifier,Sponser:,Country,Origin,Lat,Long,Tournament,Tournaments
9th,"<a href=""https://www.ssbwiki.com/Smasher:Wise"">Wise</a>","<a href=""https://www.ssbwiki.com/Smasher:Wise"">https://www.ssbwiki.com/Smasher:Wise</a>",Wise,"Talca, Chile",Luigi,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/c/c6/LuigiHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, South America - Singles,Yes,Unknown,Chile,Talca,-35.4265,-71.6661, South America , South America 
1st,"<a href=""https://www.ssbwiki.com/Smasher:Player_7"">Player 7</a>","<a href=""https://www.ssbwiki.com/Smasher:Player_7"">https://www.ssbwiki.com/Smasher:Player_7</a>",Player 7,"São Paulo, Brazil",Mr. Game & Watch,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/6/6b/MrGame%26WatchHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate Last Chance Qualifier, South America - Last Chance,Yes,Fusion e-Sports,Brazil,São Paulo,-23.5487,-46.6383, South America , South America 
2nd,"<a href=""https://www.ssbwiki.com/Smasher:Lukitu"">Lukitu</a>","<a href=""https://www.ssbwiki.com/Smasher:Lukitu"">https://www.ssbwiki.com/Smasher:Lukitu</a>",Lukitu,"Porto Alegre, Brazil",Palutena,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/a/a9/PalutenaHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate Last Chance Qualifier, South America - Last Chance,Yes,Fusion e-Sports,Brazil,Porto Alegre,-30.0277,-51.2286, South America , South America 
3rd,"<a href=""https://www.ssbwiki.com/Smasher:Luffyranha"">Luffyranha</a>","<a href=""https://www.ssbwiki.com/Smasher:Luffyranha"">https://www.ssbwiki.com/Smasher:Luffyranha</a>",Luffyranha,"Rio de Janeiro, Brazil",Inkling,Dark Samus,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/f/f1/InklingHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/9/96/DarkSamusHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate Last Chance Qualifier, South America - Last Chance,Yes,Unknown,Brazil,Rio de Janeiro,-22.9014,-43.1789, South America , South America 
4th,"<a href=""https://www.ssbwiki.com/Smasher:Ran"">Ran</a>","<a href=""https://www.ssbwiki.com/Smasher:Ran"">https://www.ssbwiki.com/Smasher:Ran</a>",Ran,"Santiago, Chile",Young Link,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/c/cd/YoungLinkHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate Last Chance Qualifier, South America - Last Chance,Yes,Unknown,Chile,Santiago,-33.45,-70.6667, South America , South America 
1st,"<a href=""https://www.ssbwiki.com/Smasher:Bloom4Eva"">Bloom4Eva</a>","<a href=""https://www.ssbwiki.com/Smasher:Bloom4Eva"">https://www.ssbwiki.com/Smasher:Bloom4Eva</a>",Bloom4Eva,"England, UK ",Bayonetta,Corrin,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/6/6c/BayonettaHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/c/cf/CorrinHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, Europe - Singles,Yes,Unknown,UK,England,51.509865,-0.118092, Europe , Europe 
2nd,"<a href=""https://www.ssbwiki.com/Smasher:Sisqui"">Sisqui</a>","<a href=""https://www.ssbwiki.com/Smasher:Sisqui"">https://www.ssbwiki.com/Smasher:Sisqui</a>",sisqui,"Barcelona, Spain",Dark Samus,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/9/96/DarkSamusHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, Europe - Singles,Yes,Nicecactus,Spain,Barcelona,41.3879,2.1699, Europe , Europe 
4th,"<a href=""https://www.ssbwiki.com/Smasher:Freetox"">Freetox_</a>","<a href=""https://www.ssbwiki.com/Smasher:Freetox"">https://www.ssbwiki.com/Smasher:Freetox</a>",Freetox_,"France, Europe",Min Min,Ness,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/d/de/MinMinHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/0/0f/NessHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, Europe - Singles,Yes,Unknown,France,France,48.864716,2.349014, Europe , Europe 
5th,"<a href=""https://www.ssbwiki.com/Smasher:Sillintor"">Sillintor</a>","<a href=""https://www.ssbwiki.com/Smasher:Sillintor"">https://www.ssbwiki.com/Smasher:Sillintor</a>",Sillintor,"Bavaria, Germany",Link,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/a/aa/LinkHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, Europe - Singles,Yes,Unknown,Germany,Bavaria,48.7775,11.431111, Europe , Europe 
5th,"<a href=""https://www.ssbwiki.com/Smasher:Vidad"">Vidad</a>","<a href=""https://www.ssbwiki.com/Smasher:Vidad"">https://www.ssbwiki.com/Smasher:Vidad</a>",Vidad,"Spain, Europe",R.O.B,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/b/b3/ROBHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, Europe - Singles,Yes,Unknown,Spain,Spain,40.416775,-3.70379, Europe , Europe 
7th,"<a href=""https://www.ssbwiki.com/Smasher:Raflow"">Raflow</a>","<a href=""https://www.ssbwiki.com/Smasher:Raflow"">https://www.ssbwiki.com/Smasher:Raflow</a>",Raflow,"France, Europe",Palutena,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/a/a9/PalutenaHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, Europe - Singles,Yes,Warthox,France,France,48.864716,2.349014, Europe , Europe 
7th,"<a href=""https://www.ssbwiki.com/Smasher:Tomberry"">Tomberry</a>","<a href=""https://www.ssbwiki.com/Smasher:Tomberry"">https://www.ssbwiki.com/Smasher:Tomberry</a>",Tomberry,"Besançon, France",Snake,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/9/9a/SnakeHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, Europe - Singles,Yes,Ades Esport,France,Besançon,47.2431,6.0219, Europe , Europe 
9th,"<a href=""https://www.ssbwiki.com/Smasher:Tarik"">Tarik</a>","<a href=""https://www.ssbwiki.com/Smasher:Tarik"">https://www.ssbwiki.com/Smasher:Tarik</a>",Tarik,"Eckernförde, Germany",Greninja,Byleth,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/6/65/GreninjaHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/a/a2/BylethHeadSSBU.png"" alt="""" width=""15"" height=""15"" />",Super Smash Bros. Ultimate singles, Europe - Singles,Yes,Unknown,Germany,Eckernförde,54.4742,9.8378, Europe , Europe 
9th,"<a href=""https://www.ssbwiki.com/Smasher:Homika"">Homika</a>","<a href=""https://www.ssbwiki.com/Smasher:Homika"">https://www.ssbwiki.com/Smasher:Homika</a>",Homika,"Paris, France",Rosalina & Luma,Pikachu,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/e/e8/RosalinaHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/f/fa/PikachuHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, Europe - Singles,Yes,Unknown,France,Paris,48.8569,2.3508, Europe , Europe 
9th,"<a href=""https://www.ssbwiki.com/Smasher:IRefuse"">IRefuse</a>","<a href=""https://www.ssbwiki.com/Smasher:IRefuse"">https://www.ssbwiki.com/Smasher:IRefuse</a>",iRefuse,"Sweden, Europe",Steve,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/1/11/SteveHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, Europe - Singles,Yes,Unknown,Sweden,Sweden,59.334591,18.06324, Europe , Europe 
9th,"<a href=""https://www.ssbwiki.com/Smasher:PurpleDebo"">PurpleDebo</a>","<a href=""https://www.ssbwiki.com/Smasher:PurpleDebo"">https://www.ssbwiki.com/Smasher:PurpleDebo</a>",PurpleDebo,"Hoorn, Netherlands",Pac-Man,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/4/45/Pac-ManHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, Europe - Singles,Yes,Unknown,Netherlands,"Horn, Netherlands",51.2167,5.95, Europe , Europe 
2nd,"<a href=""https://www.ssbwiki.com/Smasher:Gackt"">Gackt</a>","<a href=""https://www.ssbwiki.com/Smasher:Gackt"">https://www.ssbwiki.com/Smasher:Gackt</a>",Gackt,"Tokyo, Japan",Ness,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/0/0f/NessHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate Last Chance Qualifier, Japan - Last Chance,Yes,Ray Road Gaming,Japan,Tokyo,35.652832,139.839478, Japan , Japan 
1st,"<a href=""https://www.ssbwiki.com/Smasher:SuperStriker"">SuperStriker</a>","<a href=""https://www.ssbwiki.com/Smasher:SuperStriker"">https://www.ssbwiki.com/Smasher:SuperStriker</a>",SuperStriker,"Brussels, Belgium",Sonic,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/7/76/SonicHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate Last Chance Qualifier, Europe - Last Chance,Yes,Unknown,Belgium,Brussels,50.836,4.3707, Europe , Europe 
2nd,"<a href=""https://www.ssbwiki.com/Smasher:Lucretio"">Lucretio</a>","<a href=""https://www.ssbwiki.com/Smasher:Lucretio"">https://www.ssbwiki.com/Smasher:Lucretio</a>",Lucretio,"Coventry, UK",R.O.B,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/b/b3/ROBHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate Last Chance Qualifier, Europe - Last Chance,Yes,Unknown,UK,Coventry,52.4081,-1.5106, Europe , Europe 
3rd,"<a href=""https://www.ssbwiki.com/Smasher:Snormanda"">Snormanda</a>","<a href=""https://www.ssbwiki.com/Smasher:Snormanda"">https://www.ssbwiki.com/Smasher:Snormanda</a>",Snormanda,"Reutlingen, Germany ",Bowser Jr.,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/0/07/BowserJrHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate Last Chance Qualifier, Europe - Last Chance,Yes,Sissi State Punks,Germany,Reutlingen,48.483334,9.216667, Europe , Europe 
4th,"<a href=""https://www.ssbwiki.com/Smasher:Noxumbra"">Noxumbra</a>","<a href=""https://www.ssbwiki.com/Smasher:Noxumbra"">https://www.ssbwiki.com/Smasher:Noxumbra</a>",Noxumbra,"Paris, France",Richter,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/0/07/RichterHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate Last Chance Qualifier, Europe - Last Chance,Yes,Unknown,France,Paris,48.8569,2.3508, Europe , Europe 
1st,"<a href=""https://www.ssbwiki.com/Smasher:KEN"">KEN</a>","<a href=""https://www.ssbwiki.com/Smasher:KEN"">https://www.ssbwiki.com/Smasher:KEN</a>",KEN,"Tokyo, Japan",Sonic,Richter,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/7/76/SonicHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/0/07/RichterHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, Japan - Singles,Yes,SBI e-Sports,Japan,Tokyo,35.652832,139.839478, Japan , Japan 
2nd,"<a href=""https://www.ssbwiki.com/Smasher:Kuroponzu"">Kuroponzu</a>","<a href=""https://www.ssbwiki.com/Smasher:Kuroponzu"">https://www.ssbwiki.com/Smasher:Kuroponzu</a>",Kuroponzu,Japan,R.O.B,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/b/b3/ROBHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, Japan - Singles,Yes,Unknown,Japan,Japan,35.652832,139.839478, Japan , Japan 
3rd,"<a href=""https://www.ssbwiki.com/Smasher:Omuatsu"">Omuatsu</a>","<a href=""https://www.ssbwiki.com/Smasher:Omuatsu"">https://www.ssbwiki.com/Smasher:Omuatsu</a>",Omuatu,"Hiroshima, Japan",Min Min,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/d/de/MinMinHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, Japan - Singles,Yes,Unknown,Japan,Hiroshima,34.3853,132.4553, Japan , Japan 
4th,"<a href=""https://www.ssbwiki.com/Smasher:ProtoBanham"">ProtoBanham</a>","<a href=""https://www.ssbwiki.com/Smasher:ProtoBanham"">https://www.ssbwiki.com/Smasher:ProtoBanham</a>",ProtoBanham,Japan,Min Min,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/d/de/MinMinHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, Japan - Singles,Yes, VrilliantOwlX,Japan,Japan,35.652832,139.839478, Japan , Japan 
5th,"<a href=""https://www.ssbwiki.com/Smasher:Shuton"">Shuton</a>","<a href=""https://www.ssbwiki.com/Smasher:Shuton"">https://www.ssbwiki.com/Smasher:Shuton</a>",Shuton,"Fukuoka, Japan",Mythra,Pyra,Olimar,Richter,Unknown,"<img src=""https://ssb.wiki.gallery/images/3/32/MythraHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/7/79/PyraHeadSSBU.png"" alt=""Pyra"" height=""15"" /><img src=""https://ssb.wiki.gallery/images/9/91/OlimarHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/0/07/RichterHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, Japan - Singles,Yes,SunSister,Japan,Fukuoka,33.597,130.4081, Japan , Japan 
6th,"<a href=""https://www.ssbwiki.com/Smasher:Harasen"">Harasen</a>","<a href=""https://www.ssbwiki.com/Smasher:Harasen"">https://www.ssbwiki.com/Smasher:Harasen</a>",Harasen,Japan,Ice Climbers,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/8/8b/IceClimbersHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, Japan - Singles,Yes,Unknown,Japan,Japan,35.652832,139.839478, Japan , Japan 
1st,"<a href=""https://www.ssbwiki.com/Smasher:HERO"">HERO</a>","<a href=""https://www.ssbwiki.com/Smasher:HERO"">https://www.ssbwiki.com/Smasher:HERO</a>",HERO,Japan,Bowser,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/b/b5/BowserHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate Last Chance Qualifier, Japan - Last Chance,Yes,CJ eSports,Japan,Japan,35.652832,139.839478, Japan , Japan 
1st,"<a href=""https://www.ssbwiki.com/Smasher:XIFL"">XIFL</a>","<a href=""https://www.ssbwiki.com/Smasher:XIFL"">https://www.ssbwiki.com/Smasher:XIFL</a>",XIFL,"Hong Kong, China",Pokemon Trainer,Captain Falcon,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/0/09/Pok%C3%A9monTrainerHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/3/35/CaptainFalconHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, East Asia - Singles,Yes,Unknown,China,Hong Kong,22.302711,114.177216, East Asia , East Asia 
2nd,"<a href=""https://www.ssbwiki.com/Smasher:LynZle"">LynZle</a>","<a href=""https://www.ssbwiki.com/Smasher:LynZle"">https://www.ssbwiki.com/Smasher:LynZle</a>",LynZle,"Hong Kong, China",Mythra,Pyra,Mii Swordfighter,Palutena,Mr. Game & Watch,"<img src=""https://ssb.wiki.gallery/images/3/32/MythraHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/7/79/PyraHeadSSBU.png"" alt=""Pyra"" height=""15"" /><img src=""https://ssb.wiki.gallery/images/e/ef/MiiSwordfighterHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/a/a9/PalutenaHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/6/6b/MrGame%26WatchHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, East Asia - Singles,Yes,Unknown,China,Hong Kong,22.302711,114.177216, East Asia , East Asia 
3rd,"<a href=""https://www.ssbwiki.com/Smasher:Yoshi_95"">Yoshi_95</a>","<a href=""https://www.ssbwiki.com/Smasher:Yoshi_95"">https://www.ssbwiki.com/Smasher:Yoshi_95</a>",Yoshi_95,"Quezon City, Philippines",Link,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/a/aa/LinkHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, East Asia - Singles,Yes,Unknown,Philippines,Quezon City,14.6884,121.0745, East Asia , East Asia 
4th,"<a href=""https://www.ssbwiki.com/Smasher:Junkyarddude"">Junkyarddude</a>","<a href=""https://www.ssbwiki.com/Smasher:Junkyarddude"">https://www.ssbwiki.com/Smasher:Junkyarddude</a>",Junkyarddude,Philippines ,Joker,Min Min,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/2/25/JokerHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/d/de/MinMinHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, East Asia - Singles,Yes,Unknown,Philippines,Philippines,14.599512,120.984222, East Asia , East Asia 
5th,"<a href=""https://www.ssbwiki.com/Smasher:Pwner"">Pwner</a>","<a href=""https://www.ssbwiki.com/Smasher:Pwner"">https://www.ssbwiki.com/Smasher:Pwner</a>",Pwner,"Hong Kong, China",Ike,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/b/b2/IkeHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, East Asia - Singles,Yes,Unknown,China,Hong Kong,22.302711,114.177216, East Asia , East Asia 
6th,"<a href=""https://www.ssbwiki.com/Smasher:PsineWave"">PsineWave</a>","<a href=""https://www.ssbwiki.com/Smasher:PsineWave"">https://www.ssbwiki.com/Smasher:PsineWave</a>",PsineWave,"Singapore, Asia",Ness,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/0/0f/NessHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles, East Asia - Singles,Yes,Unknown,Singapore,Singapore,1.29027,103.851959, East Asia , East Asia 
1st,"<a href=""https://www.ssbwiki.com/Smasher:Tanark"">Tanark</a>","<a href=""https://www.ssbwiki.com/Smasher:Tanark"">https://www.ssbwiki.com/Smasher:Tanark</a>",Tanark,"Seoul, South Korea",Fox,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/0/04/FoxHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate Last Chance Qualifier, East Asia - Last Chance,Yes,Unknown,South Korea,Seoul,37.5326,127.024612, East Asia , East Asia 
2nd,"<a href=""https://www.ssbwiki.com/Smasher:Sejun"">Sejun</a>","<a href=""https://www.ssbwiki.com/Smasher:Sejun"">https://www.ssbwiki.com/Smasher:Sejun</a>",Sejun,"South Korea, Asia",King Dedede,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/b/bb/KingDededeHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate Last Chance Qualifier, East Asia - Last Chance,Yes,T1,South Korea,South Korea,37.5326,127.024612, East Asia , East Asia 
1st,"<a href=""https://www.ssbwiki.com/Smasher:Scend"">Scend</a>","<a href=""https://www.ssbwiki.com/Smasher:Scend"">https://www.ssbwiki.com/Smasher:Scend</a>",Scend,"Salt Lake City, Utah",Ness,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/0/0f/NessHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles,Southwest - Singles,Yes,Unknown,USA,Salt Lake City,40.75,-111.8833,American Southwest , Southwest 
2nd,"<a href=""https://www.ssbwiki.com/Kiyarash"">https://www.ssbwiki.com/Kiyarash</a>","<a href=""https://www.ssbwiki.com/Kiyarash"">https://www.ssbwiki.com/Kiyarash</a>",Kiyarash,"California, USA",Luigi,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/c/c6/LuigiHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles,Southwest - Singles,Yes,Unknown,USA,California,36.778259,-119.417931,American Southwest , Southwest 
3rd,"<a href=""https://www.ssbwiki.com/Smasher:MVD"">MVD</a>","<a href=""https://www.ssbwiki.com/Smasher:MVD"">https://www.ssbwiki.com/Smasher:MVD</a>",MVD,"Las Vegas, Nevada",Snake,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/9/9a/SnakeHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles,Southwest - Singles,Yes,Thunder Gaming,USA,Las Vegas,36.1691,-115.1406,American Southwest , Southwest 
4th,"<a href=""https://www.ssbwiki.com/Smasher:Hanayome"">Hanayome</a>","<a href=""https://www.ssbwiki.com/Smasher:Hanayome"">https://www.ssbwiki.com/Smasher:Hanayome</a>",Hanayome,"Texas, USA",Ike,Sephiroth,Chrom,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/b/b2/IkeHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/5/5e/SephirothHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/2/25/ChromHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles,Southwest - Singles,Yes,Unknown,USA,Texas,31,-100,American Southwest , Southwest 
5th,"<a href=""https://www.ssbwiki.com/Smasher:BassMage"">BassMage</a>","<a href=""https://www.ssbwiki.com/Smasher:BassMage"">https://www.ssbwiki.com/Smasher:BassMage</a>",BassMage,"Tucson, Arizona",Jigglypuff,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/9/95/JigglypuffHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles,Southwest - Singles,Yes,Lavender esports,USA,Tucson,32.2217,-110.9264,American Southwest , Southwest 
6th,"<a href=""https://www.ssbwiki.com/Smasher:Larry_Lurr"">Larry_Lurr</a>","<a href=""https://www.ssbwiki.com/Smasher:Larry_Lurr"">https://www.ssbwiki.com/Smasher:Larry_Lurr</a>",Larry Lurr,"Los Angeles, California",Wolf,Falco,Donkey Kong,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/e/e8/WolfHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/2/2f/FalcoHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/b/ba/DonkeyKongHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles,Southwest - Singles,Yes,Unknown,USA,Los Angeles,34.0522,-118.2433,American Southwest , Southwest 
1st,"<a href=""https://www.ssbwiki.com/Smasher:T3_DOM"">T3_DOM</a>","<a href=""https://www.ssbwiki.com/Smasher:T3_DOM"">https://www.ssbwiki.com/Smasher:T3_DOM</a>",T3 DOM,"Irvine, California",Richter,Unknown,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/0/07/RichterHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate Last Chance Qualifier,Southwest - Last Chance,Yes,Carnage Gaming,USA,Irvine,33.6694,-117.8231,American Southwest , Southwest 
2nd,"<a href=""https://www.ssbwiki.com/Smasher:Midnight_(SoCal)"">xXBuntaiFan94000Xx</a>","<a href=""https://www.ssbwiki.com/Smasher:Midnight_(SoCal)"">https://www.ssbwiki.com/Smasher:Midnight_(SoCal)</a>",xXBuntaiFan9,"Los Angeles, California",Palutena,Donkey Kong,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/a/a9/PalutenaHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/b/ba/DonkeyKongHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate Last Chance Qualifier,Southwest - Last Chance,Yes,Prism Esports,USA,Los Angeles,34.0522,-118.2433,American Southwest , Southwest 
1st,"<a href=""https://www.ssbwiki.com/Smasher:SKITTLES!!"">SKITTLES!!</a>","<a href=""https://www.ssbwiki.com/Smasher:SKITTLES!!"">https://www.ssbwiki.com/Smasher:SKITTLES!!</a>",SKITTLES!!,"Omaha, Nebraska",Young Link,Kirby,Mega Man,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/c/cd/YoungLinkHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/9/91/KirbyHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/5/55/MegaManHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles,Northwest - Singles,Yes,Unknown,USA,Omaha,41.25,-96,American Northwest , Northwest 
2nd,"<a href=""https://www.ssbwiki.com/Smasher:Pandarian"">Pandarian</a>","<a href=""https://www.ssbwiki.com/Smasher:Pandarian"">https://www.ssbwiki.com/Smasher:Pandarian</a>",Pandarian,"Kirkland, Washington",Pokemon Trainer,Wolf,Toon Link,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/0/09/Pok%C3%A9monTrainerHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/e/e8/WolfHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/e/e6/ToonLinkHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles,Northwest - Singles,Yes,Team Clarity,USA,Kirkland,47.6755,-122.2034,American Northwest , Northwest 
3rd,"<a href=""https://www.ssbwiki.com/Smasher:Middy"">Middy</a>","<a href=""https://www.ssbwiki.com/Smasher:Middy"">https://www.ssbwiki.com/Smasher:Middy</a>",Middy,"Washington, USA ",Pac-Man,Steve,Unknown,Unknown,Unknown,"<img src=""https://ssb.wiki.gallery/images/4/45/Pac-ManHeadSSBU.png"" alt="""" height=""15"" /><img src=""https://ssb.wiki.gallery/images/1/11/SteveHeadSSBU.png"" alt="""" height=""15"" />",Super Smash Bros. Ultimate singles,Northwest - Singles,Yes,Team Clarity,USA,Washington,47.751076,-120.740135,American Northwest , Northwest 
